segment_id,u,v,lat_u,lon_u,lat_v,lon_v,highway,length,lat,lon,umap_x,umap_y,cluster_espacial,cluster_temporal,jam_mean,zona
0,2866782875,8957222011,-16.5175566,-68.0519416,-16.5175848,-68.0512422,residential,93.35659504612812,-16.5175707,-68.0515919,-11.531541,-6.9721327,-1,0,0.0,lapaz
1,2455499173,2455499173,-16.5339062,-68.1295466,-16.5339062,-68.1295466,residential,260.907869566362,-16.5339062,-68.1295466,-11.364942,-6.756392,-1,0,0.0,lapaz
2,1333236119,9643041207,-16.5186777,-68.0562271,-16.518629,-68.0566927,residential,49.95019170071194,-16.51865335,-68.0564599,-12.103427,-6.71468,-1,0,0.0,lapaz
3,1332075913,1332666584,-16.4904073,-68.1047547,-16.4903243,-68.1051501,residential,43.156480715357816,-16.4903658,-68.1049524,-11.012942,-6.018051,0,0,0.0,lapaz
4,2867899175,2867899177,-16.5481381,-68.0965094,-16.5489522,-68.0960312,residential,103.88753602810696,-16.54854515,-68.0962703,-10.717873,-6.655861,-1,0,0.0,lapaz
5,8995652826,12612978799,-16.5191597,-68.1258548,-16.5196352,-68.1263353,residential,74.8702936995979,-16.51939745,-68.12609505,-11.843713,-6.522763,-1,0,0.0,lapaz
6,1784894644,1784894665,-16.4745295,-68.11518,-16.4752814,-68.1154131,residential,87.25851526312755,-16.47490545,-68.11529655,-11.225677,-6.1423693,8,0,0.0,lapaz
7,1786081767,8983344938,-16.5343947,-68.1380626,-16.5349405,-68.1380138,residential,68.69037602020495,-16.5346676,-68.1380382,-11.863849,-7.0021486,5,0,0.0,lapaz
8,1132462505,1345733211,-16.4928466,-68.1157663,-16.4925066,-68.1159857,residential,44.458125741462005,-16.4926766,-68.115876,-11.633337,-6.219789,1,0,0.0,lapaz
9,2867949799,2867949804,-16.5094355,-68.0553366,-16.5082339,-68.0547754,residential,174.47319723497296,-16.5088347,-68.05505600000001,-12.155589,-6.399621,-1,0,0.0,lapaz
10,8327670476,8982653302,-16.4970027,-68.0957277,-16.4969857,-68.0968759,residential,151.14436766716858,-16.4969942,-68.09630179999999,-11.839122,-6.200632,-1,0,0.0,lapaz
11,1345660857,1345660891,-16.5079753,-68.1111065,-16.5077181,-68.1118264,residential,83.11840032098362,-16.5078467,-68.11146645,-11.667885,-6.835106,-1,0,0.0,lapaz
12,1785386633,1785386635,-16.5224758,-68.1050849,-16.5225427,-68.1052975,residential,24.103695419471343,-16.52250925,-68.10519120000001,-11.51065,-5.949105,-1,0,0.0,lapaz
13,1332074716,1344189009,-16.4957881,-68.101985,-16.4960639,-68.1009031,residential,119.5990851852132,-16.495925999999997,-68.10144405,-11.943981,-6.5311403,0,0,0.0,lapaz
14,1785387152,1785387178,-16.5326363,-68.0942862,-16.5335482,-68.094285,residential,105.82485388872264,-16.53309225,-68.0942856,-11.431378,-6.019557,-1,0,0.0,lapaz
15,2834844847,2834844855,-16.4575976,-68.1197995,-16.4597712,-68.1194556,residential,255.62855019068635,-16.4586844,-68.11962754999999,-11.596963,-6.175799,-1,0,0.0,lapaz
16,1208361964,1906527080,-16.5313234,-68.0746423,-16.5321175,-68.0751492,residential,103.52126563313188,-16.53172045,-68.07489575,-13.095431,-7.501207,-1,0,0.0,lapaz
17,560220565,560220610,-16.5378984,-68.0777581,-16.5379569,-68.076689,residential,114.1463340829882,-16.53792765,-68.07722355,-8.019002,2.3862765,2,1,1.0052133688581881,lapaz
18,560220013,560220298,-16.5457972,-68.0804997,-16.5452193,-68.0803402,residential,66.4706234519058,-16.545508249999997,-68.08041994999999,-11.185265,-5.3213143,2,0,0.0,lapaz
19,1784902718,4676764530,-16.4950554,-68.1131458,-16.4957464,-68.1113154,residential,225.8570427208107,-16.4954009,-68.1122306,-11.64251,-7.941516,1,0,0.0,lapaz
20,1216186567,1906157232,-16.5212903,-68.1082674,-16.5212543,-68.1086348,residential,39.370456817191126,-16.5212723,-68.1084511,-13.390603,-6.63105,-1,0,0.0,lapaz
21,5351900235,9258379534,-16.5294595,-68.0395488,-16.5303181,-68.0401873,residential,118.91171738776949,-16.529888800000002,-68.03986805,-11.637021,-6.48589,3,0,0.0,lapaz
22,1786081070,1786081086,-16.5252239,-68.1253103,-16.5256449,-68.1261079,residential,100.842758580629,-16.5254344,-68.1257091,-10.864558,-7.6177573,-1,0,0.0,lapaz
23,537341475,1707567216,-16.5049576,-68.1346911,-16.5048052,-68.1344377,residential,31.890845552802297,-16.504881400000002,-68.1345644,-8.33809,2.739664,4,1,1.1988980514281995,lapaz
24,2454687780,9961703073,-16.5362569,-68.1339931,-16.5367005,-68.1347008,residential,90.3104074513009,-16.5364787,-68.13434695000001,-10.591469,-6.8689632,5,0,0.0,lapaz
25,1332097389,2321317735,-16.5333486,-68.0381505,-16.5338513,-68.0378663,residential,63.59977777647759,-16.53359995,-68.0380084,-10.53911,-6.104402,3,0,0.0,lapaz
26,1332053558,1346555108,-16.5094592,-68.0822109,-16.5082338,-68.0831956,residential,172.0092141193672,-16.508846499999997,-68.08270325000001,-13.191155,-5.968549,-1,0,0.0,lapaz
27,1340866271,1340866368,-16.5443096,-68.0421253,-16.544231,-68.043073,residential,101.39424890087716,-16.5442703,-68.04259915,-11.377858,-5.4275866,-1,0,0.0,lapaz
28,443177836,443177838,-16.5148481,-68.1300254,-16.5146546,-68.1288533,residential,126.79405630979966,-16.514751349999997,-68.12943935,-8.626465,2.7821722,-1,1,0.6310809648632947,lapaz
29,1344150112,4873313225,-16.4936529,-68.1033472,-16.4928721,-68.1034649,residential,87.72336152116156,-16.4932625,-68.10340605,-10.416268,-6.6529555,0,0,0.0,lapaz
30,1786081721,1786081747,-16.53355,-68.1319572,-16.534102,-68.1316481,residential,69.66433027839626,-16.533826,-68.13180265,-10.530736,-6.36267,5,0,0.0,lapaz
31,2865526358,2865526365,-16.4790346,-68.0968937,-16.4796931,-68.0955881,residential,157.29476782093,-16.47936385,-68.0962409,-10.779029,-6.330919,-1,0,0.0,lapaz
32,1361257001,1361257039,-16.5160691,-68.1103429,-16.5156694,-68.1100978,residential,51.5565429030299,-16.51586925,-68.11022035,-11.711557,-5.31696,-1,0,0.0,lapaz
33,1786102784,1786102824,-16.5340547,-68.1021157,-16.5346513,-68.1023745,residential,96.53692534543116,-16.534353,-68.1022451,-11.432043,-7.809536,6,0,0.0,lapaz
34,1784894591,2864497020,-16.4701661,-68.1141601,-16.4690292,-68.1121528,residential,251.37100577330688,-16.46959765,-68.11315645,-10.684813,-6.589294,-1,0,0.0,lapaz
35,1345733093,4675633947,-16.4880969,-68.1067197,-16.4861679,-68.1071717,residential,246.98282807833155,-16.4871324,-68.1069457,-10.844631,-6.1056314,0,0,0.0,lapaz
36,1208348705,1349942866,-16.5439689,-68.0615891,-16.545446,-68.0614248,residential,165.19462198141792,-16.544707449999997,-68.06150695,-10.460504,-7.176579,-1,0,0.0,lapaz
37,1361187802,1361333611,-16.4578929,-68.1617468,-16.4577503,-68.1612341,residential,57.58643554225924,-16.457821600000003,-68.16149045,-10.901333,-7.6760073,-1,0,0.0,lapaz
38,1498508970,5502322395,-16.484367,-68.1648712,-16.4843067,-68.1649542,residential,11.103048236826083,-16.48433685,-68.1649127,-11.162467,-7.4997864,7,0,0.0,lapaz
39,1785345078,1785345091,-16.5099923,-68.1145611,-16.51036,-68.1145569,residential,40.88888403271002,-16.51017615,-68.114559,-10.6515875,-7.062468,-1,0,0.0,lapaz
40,1785244058,2866752126,-16.5191457,-68.1352708,-16.5192671,-68.136458,residential,129.66154713540092,-16.5192064,-68.1358644,-11.069177,-6.618595,-1,0,0.0,lapaz
41,560220216,560220221,-16.5430836,-68.0842039,-16.5431925,-68.0839774,residential,27.127609449740888,-16.54313805,-68.08409065000001,-11.014947,-6.1759377,2,0,0.0,lapaz
42,2864934870,2864934875,-16.4700208,-68.124019,-16.4683183,-68.1258217,residential,311.17002357442914,-16.46916955,-68.12492035,-11.486217,-7.4249163,-1,0,0.0,lapaz
