segment_id,u,v,lat_u,lon_u,lat_v,lon_v,highway,length,lat,lon
1000,577449823,577449803,-16.5477548,-68.1848121,-16.5482467,-68.1853155,residential,76.62140266239079,-16.5482467,-68.1853155
1001,568585836,568485553,-16.5337937,-68.1801499,-16.5334545,-68.1804994,residential,53.01505900941044,-16.5334545,-68.1804994
1002,6438999257,6438999258,-16.453459,-68.1613314,-16.4524619,-68.1610093,residential,116.07160030898936,-16.4524619,-68.1610093
1003,2504760931,2504760747,-16.4816757,-68.2544675,-16.4818426,-68.2540414,residential,49.077572693121624,-16.4818426,-68.2540414
1004,579083263,579083269,-16.4971394,-68.1979155,-16.4961588,-68.1976359,residential,113.03946845743324,-16.4970547,-68.1978914
1005,5517435716,2502948527,-16.4917418,-68.2548507,-16.4916894,-68.2548198,residential,6.6935614005342465,-16.4916894,-68.2548198
1006,2488308980,2488308989,-16.5196846,-68.2442131,-16.5192368,-68.2442161,residential,49.794185552282876,-16.5192368,-68.2442161
1007,1351414075,1351100829,-16.5791288,-68.1899271,-16.57933,-68.1882151,residential,183.81827357824253,-16.57933,-68.1882151
1008,1786137630,1786137673,-16.5444143,-68.2137962,-16.5446977,-68.214159,residential,49.88511692150931,-16.5446977,-68.214159
1009,8959677623,8959677622,-16.5019747,-68.1971375,-16.5022502,-68.1961935,residential,105.47704903774775,-16.5022277,-68.1962391
1010,8983105507,10098918981,-16.4921749,-68.2832864,-16.4929336,-68.2838142,residential,101.41011409813154,-16.4929336,-68.2838142
1011,2467403372,2467403376,-16.6273511,-68.1868191,-16.6274334,-68.1872375,residential,45.50828950233715,-16.6274334,-68.1872375
1012,10092624839,10092624838,-16.4673779,-68.2359138,-16.4674501,-68.2359599,residential,9.413751262372104,-16.4674501,-68.2359599
1013,10589299580,5520742093,-16.5660331,-68.207205,-16.5663127,-68.2074627,residential,41.48436824095159,-16.5663127,-68.2074627
1014,5327649302,2507173672,-16.4792698,-68.2482781,-16.478742,-68.2481579,residential,60.07193498936832,-16.478742,-68.2481579
1015,2428223003,2428223078,-16.5403749,-68.1503338,-16.5394475,-68.150097,residential,107.26056301044183,-16.5400278,-68.1502922
1016,1498622524,1498622518,-16.5863774,-68.1918672,-16.5862294,-68.1915906,residential,37.70502971746251,-16.5863723,-68.1917243
1017,2426922344,2426922067,-16.5211939,-68.1960064,-16.5208681,-68.1957131,residential,47.85448719732199,-16.5208681,-68.1957131
1018,572352059,2869606145,-16.5432964,-68.162979,-16.5437721,-68.1632674,residential,61.179666199680454,-16.5437721,-68.1632674
1019,568648460,568648454,-16.5342689,-68.1833494,-16.534166,-68.1832217,residential,17.782513053116485,-16.534166,-68.1832217
1020,1292304299,1786204469,-16.5368826,-68.2010309,-16.536593,-68.200679,residential,49.437374132561764,-16.536593,-68.200679
1021,2419585593,2419585583,-16.5333893,-68.221205,-16.5333967,-68.2217684,residential,60.06273380267251,-16.5333967,-68.2217684
1022,1362336079,1362336108,-16.4893383,-68.221408,-16.489255,-68.2218107,residential,43.924379917932434,-16.489255,-68.2218107
1023,581373038,581373026,-16.5077574,-68.2048548,-16.5088942,-68.2059713,residential,173.62938440746555,-16.5088942,-68.2059713
1024,414448174,414448176,-16.4817191,-68.180186,-16.481233,-68.1799333,residential,60.39548545620033,-16.481233,-68.1799333
